,Job Title,Job Company,Job Location,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Level,Minimum,Maximum,Currency,Category,Company ,Role
0,Senior Data Scientist - Ads Optimization,Indeed,"San Francisco, CA",4.3,703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Senior,153000.0,223000.0,USD,Data Science,,Data Science
1,Technical Sourcer - Data Science & Analytics,Uber,"San Francisco, CA",4.0,3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,87000.0,167000.0,USD,Data Science,,Data Analyst
2,Senior Data Science Analyst,JM Talent Inc.,"Oakland, CA",0.0,0,Unknown,0,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,Senior,100000.0,100000.0,USD,Data Science,,Data Analyst
3,Data Science Lecturer,Excelon Associates,"Berkeley, CA",4.8,1,1 to 50 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD),Normal,62000.0,162000.0,USD,Data Science,,Data Science
4,Data Scientist,Warman O'Brien,"San Francisco, CA",5.0,0,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),Normal,120000.0,140000.0,USD,Data Science,,Data Science
5,Data Engineer,CyberCoders,"San Francisco, CA",4.1,52,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Normal,140000.0,170000.0,USD,Data Science,,Data Engineer
6,Senior Data Scientist,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Senior,180000.0,200000.0,USD,Data Science,,Data Science
7,Tech Lead - Data Science,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Senior,200000.0,240000.0,USD,Data Science,,Data Science
8,Manager of Machine Learning,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,200000.0,240000.0,USD,Data Science,,Machine Learning
9,Director of Data Science,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,235000.0,245000.0,USD,Data Science,,Data Science
10,Data Engineer,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,160000.0,190000.0,USD,Data Science,,Data Engineer
11,Data Scientist,TargetCW,"San Francisco, CA",3.9,113,51 to 200 Employees,2009,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Normal,124800.0,124800.0,USD,Data Science,,Data Science
12,REMOTE Principal Security Data Engineer,CyberCoders,"San Francisco, CA",4.1,52,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Senior,170000.0,240000.0,USD,Data Science,,Data Engineer
13,University Grad Data Scientist,Pinterest,"San Francisco, CA",4.2,262,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),Junior,97000.0,185000.0,USD,Data Science,,Data Science
14,Senior Data Scientist - Consumer Decision Science,Glassdoor,"San Francisco, CA",4.0,188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Senior,136000.0,170000.0,USD,Data Science,,Data Science
15,Lecturer - Data Science - School of Information,University of California Berkeley,"Berkeley, CA",4.3,231,10000+ Employees,1682,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),Normal,62000.0,162000.0,USD,Data Science,,Data Science
16,Data & Applied Scientist,Microsoft,"San Francisco, CA",4.4,6744,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Normal,94000.0,182000.0,USD,Data Science,,Data Science
17,"Staff Data Scientist, Virtual HQ",Slack,"San Francisco, CA",4.7,530,1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Normal,142000.0,142000.0,USD,Data Science,,Data Science
18,"Data Scientist, Game Analytics",Niantic,"San Francisco, CA",3.6,82,501 to 1000 Employees,2011,Company - Private,Video Games,Media,Unknown / Non-Applicable,Normal,90000.0,169000.0,USD,Data Science,,Data Analyst
19,Assistant Statistician,University of California San Francisco,"San Francisco, CA",4.1,359,10000+ Employees,1864,College / University,Colleges & Universities,Education,$25 to $50 million (USD),Normal,57000.0,115000.0,USD,Data Science,,General Data
20,Research Data Scientist,University of California San Francisco,"San Francisco, CA",4.1,359,10000+ Employees,1864,College / University,Colleges & Universities,Education,$25 to $50 million (USD),Normal,63000.0,115000.0,USD,Data Science,,Data Researcher
21,"Senior Data Scientist, Slack Connect",Slack,"San Francisco, CA",4.7,530,1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Senior,122000.0,122000.0,USD,Data Science,,Data Science
