Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Type,Company Industry,Company Sector,Company Revenue,Company Founded
Data Engineer,"Sightly
4.5","New York, NY",$110K - $140K (Employer est.),"4.5
★★★★★",0,1 to 50 Employees,Company - Public,Advertising & Marketing,Business Services,$1 to $5 million (USD),
"Sr Data Analyst, AMERICAS",Smart AdServer,"New York, NY",$95K - $115K (Employer est.),-1,0,,,,,,
"Data Science, Senior Consultant - Applied AI","Deloitte
4.0","New York, NY",$79K - $128K (Glassdoor est.),"3.9
★★★★★",347,10000+ Employees,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),1850
Technical Sourcer - Data Science & Analytics,"Uber
4.0","New York, NY",$81K - $161K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),2009
Data Analyst,Flywheel Software,"New York, NY",,-1,0,,,,,,
Adjunct: COMPUTER AND DATA SCIENCE FACULTY (EVENINGS & WEEKEND),"Monroe College
3.8","Bronx, NY",$34K - $82K (Glassdoor est.),"3.8
★★★★★",17,501 to 1000 Employees,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,1933
AI Data Scientist,Viridios AI,"New York, NY",$76K - $153K (Glassdoor est.),-1,0,1 to 50 Employees,Company - Private,,,Unknown / Non-Applicable,
"L’Oréal, eRetail Data Science","L'Oreal
3.9","New York, NY",$57K - $138K (Glassdoor est.),"3.9
★★★★★",205,10000+ Employees,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),1909
"Software Engineer II, Machine Learning","Uber
4.0","New York, NY",$88K - $188K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),2009
Data Analyst- Full Time Remote,Michael Page,"New York, NY",$40K - $96K (Glassdoor est.),-1,0,5001 to 10000 Employees,Company - Private,,,$10+ billion (USD),1976
