Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
Senior Data Scientist - Ads Optimization,"Indeed
4.3","San Francisco, CA",$153K - $223K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Technical Sourcer - Data Science & Analytics,"Uber
4.0","San Francisco, CA",$87K - $167K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD)
Senior Data Science Analyst,JM Talent Inc.,"Oakland, CA",$100K (Employer est.),-1,0,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Science Lecturer,"Excelon Associates
4.8","Berkeley, CA",$62K - $162K (Employer est.),"4.8
★★★★★",1,1 to 50 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD)
Data Scientist,"Warman O'Brien
5.0","San Francisco, CA",$120K - $140K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Data Engineer,CyberCoders,"San Francisco, CA",$140K - $170K (Employer est.),"4.1
★★★★★",52,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Senior Data Scientist,"Harnham
4.0","San Francisco, CA",$180K - $200K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Tech Lead - Data Science,"Harnham
4.0","San Francisco, CA",$200K - $240K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Manager of Machine Learning,"Harnham
4.0","San Francisco, CA",$200K - $240K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Director of Data Science,"Harnham
4.0","San Francisco, CA",$235K - $245K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Engineer,"Harnham
4.0","San Francisco, CA",$160K - $190K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Scientist,"TargetCW
3.9","San Francisco, CA",$60 Per Hour(Employer est.),"3.9
★★★★★",113,51 to 200 Employees,2009,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
REMOTE Principal Security Data Engineer,CyberCoders,"San Francisco, CA",$170K - $240K (Employer est.),"4.1
★★★★★",52,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
University Grad Data Scientist,"Pinterest
4.2","San Francisco, CA",$97K - $185K (Glassdoor est.),"4.2
★★★★★",262,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Senior Data Scientist - Consumer Decision Science,"Glassdoor
4.0","San Francisco, CA",$136K - $170K (Employer est.),"4.0
★★★★★",188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Lecturer - Data Science - School of Information,University of California Berkeley,"Berkeley, CA",$62K - $162K (Employer est.),"4.3
★★★★★",231,10000+ Employees,1682,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
