Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Type,Company Industry,Company Sector,Company Revenue,Company Founded,Company 
Data Scientist,"CJR Wholesale Grocers LTD
3.4",Mississauga Valley,CA$80K - CA$110K (Glassdoor est.),"3.4
★★★★★",11,1 to 50 Employees,Franchise,Vehicle Dealers,Retail,$5 to $10 million (USD),,
"Director, Data Science","Bevertec CST Inc
3.8",Toronto,CA$130K (Employer est.),"3.8
★★★★★",12,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),,
Research Associate (Data Analyst) 1,"Cytel, Canada Health Inc
4.1",Toronto,CA$72K - CA$81K (Glassdoor est.),"4.1
★★★★★",51,1001 to 5000 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),1987,
Senior Data Analyst,Flex Surveys,Midtown Toronto,CA$59K - CA$60K (Employer est.),-1,0,,,,,,,
Data/Business Intelligence Analyst (Remote),Mero,Toronto,CA$30K - CA$65K (Employer est.),-1,0,,,,,,,
"Data Scientist, NA Integrated Analytics (2022 New Grad – Toronto)","Munich RE
4.1",Toronto,CA$88K - CA$104K (Glassdoor est.),"4.1
★★★★★",100,10000+ Employees,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),1880,
data scientist,"Tiger Analytics Inc.
4.2",Toronto,CA$110K - CA$130K (Employer est.),"4.2
★★★★★",120,501 to 1000 Employees,Company - Private,Consulting,Business Services,$10 to $25 million (USD),2011,
Data Scientist,"Crescendo Technology Ltd.
3.7",North York,CA$55K - CA$119K (Employer est.),"3.7
★★★★★",0,51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,2013,
Data Scientist,"NielsenIQ
3.9",Toronto,CA$80K - CA$105K (Glassdoor est.),"3.9
★★★★★",173,10000+ Employees,Company - Private,,,Unknown / Non-Applicable,1923,
Data Scientist,"Cognizant Technology Solutions
3.8",Mississauga,CA$81K - CA$89K (Glassdoor est.),"3.8
★★★★★",14362,10000+ Employees,Company - Public,Consulting,Business Services,$10+ billion (USD),1994,
Data Analyst,"Jerry
4.3",Toronto,CA$65K - CA$88K (Glassdoor est.),"4.3
★★★★★",16,51 to 200 Employees,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,2017,
Senior Sales Operations Data Analyst,"Introhive
4.6",Toronto,CA$78K - CA$86K (Glassdoor est.),"4.6
★★★★★",36,201 to 500 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,2012,
Data Science Engineer,"Wavelabs Technologies Inc.
4.7",Mississauga,CA$79K - CA$96K (Glassdoor est.),"4.7
★★★★★",10,201 to 500 Employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),2015,
Data Scientist,"Loblaw Companies Limited
3.6",Brampton,CA$83K - CA$120K (Glassdoor est.),"4.0
★★★★★",8730,10000+ Employees,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),,
Data Analyst,"Bolt Logistics
4.2",Toronto,CA$50K - CA$90K (Glassdoor est.),"4.2
★★★★★",0,501 to 1000 Employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,2017,
Data Analyst,"Basis Technologies
3.8",Toronto,CA$66K - CA$91K (Glassdoor est.),"3.8
★★★★★",233,501 to 1000 Employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),2001,
"Developer, Data Science",Bell Canada,Mississauga,CA$74K - CA$82K (Glassdoor est.),"3.9
★★★★★",317,10000+ Employees,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),1880,
"Analyst, Analytics & Insights","Equitable Bank
4.2",Toronto,CA$66K - CA$76K (Glassdoor est.),"4.2
★★★★★",48,501 to 1000 Employees,Company - Public,Banks & Credit Unions,Finance,Unknown / Non-Applicable,1970,
Machine Learning Engineer,Repustate Inc.,Toronto,CA$140K (Employer est.),-1,0,,,,,,,
Sr Data Scientist,"PepsiCo
3.9",Mississauga,CA$52K - CA$63K (Glassdoor est.),"3.9
★★★★★",1663,10000+ Employees,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),1965,
Data Scientist,"HomeStars
3.6",Toronto,CA$55K - CA$66K (Glassdoor est.),"3.6
★★★★★",26,51 to 200 Employees,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,2006,
Data Scientist,"CakeAI
5.0",Toronto,CA$61K - CA$90K (Glassdoor est.),"5.0
★★★★★",0,1 to 50 Employees,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),2020,
Python Developer (Data Science),"Citi
3.9",Mississauga,CA$131K - CA$138K (Glassdoor est.),"3.9
★★★★★",1263,10000+ Employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),1812,
Data Science Engineer,"DRVN Intelligence
2.5",Toronto,CA$75K - CA$91K (Glassdoor est.),"2.5
★★★★★",0,1 to 50 Employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,2018,
Data Scientist,"Geotab
4.2",Oakville,CA$83K - CA$111K (Glassdoor est.),"4.2
★★★★★",113,1001 to 5000 Employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),2000,
Data Scientist – Aviation/AI company – Remote position,"Groom & Associes
4.4",Toronto,CA$78K - CA$103K (Glassdoor est.),"4.4
★★★★★",14,1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),,
"Actuary/Data Scientist – Support to Hong Kong office, Intact Lab","Intact
4.4",Toronto,CA$78K - CA$101K (Glassdoor est.),"4.4
★★★★★",528,10000+ Employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),,
Data Scientist,"Loblaw Companies Limited
3.6",Brampton,CA$83K - CA$120K (Glassdoor est.),"3.6
★★★★★",989,10000+ Employees,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),,
"Senior Manager, Data Science","Loblaw Companies Limited
3.6",Brampton,CA$85K - CA$118K (Glassdoor est.),"4.0
★★★★★",8730,10000+ Employees,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),,
Data Scientist,"Robert Half
3.8",Toronto,CA$100K - CA$120K (Employer est.),"3.8
★★★★★",553,10000+ Employees,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),1948,
Data Scientist (Product Analytics),"LotusFlare, Inc.
4.3",Toronto,CA$76K - CA$102K (Glassdoor est.),"4.3
★★★★★",19,201 to 500 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,2014,
Data Scientist,"Geotab
4.2",Oakville,CA$83K - CA$111K (Glassdoor est.),"4.2
★★★★★",113,1001 to 5000 Employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),2000,
"Analyst, Analytics & Insights","Equitable Bank
4.2",Toronto,CA$66K - CA$76K (Glassdoor est.),"4.2
★★★★★",48,501 to 1000 Employees,Company - Public,Banks & Credit Unions,Finance,Unknown / Non-Applicable,1970,
Machine Learning Engineer,Repustate Inc.,Toronto,CA$140K (Employer est.),-1,0,,,,,,,
Senior Data Analyst / Data Scientist,Research Pandit,Mississauga,CA$130K (Employer est.),-1,0,,,,,,,
"Senior Analyst, Campaign Analytics & Insights","TD Bank
4.0",Toronto,CA$50K - CA$77K (Glassdoor est.),"4.0
★★★★★",2501,10000+ Employees,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),1855,
Marketing Analytics Data Scientist,"Kingstar Media
3.1",Toronto,CA$76K - CA$106K (Glassdoor est.),"3.1
★★★★★",1,1 to 50 Employees,Company - Private,Motion Picture Production & Distribution,Media,Less than $1 million (USD),2003,
Sr Data Scientist,"PepsiCo
3.9",Mississauga,CA$52K - CA$63K (Glassdoor est.),"3.9
★★★★★",1663,10000+ Employees,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),1965,
"Manager, Data Architecture and Analytics","Metrolinx
3.7",Toronto,CA$99K - CA$139K (Employer est.),"3.7
★★★★★",104,1001 to 5000 Employees,Government,Federal Agencies,Government,$1 to $2 billion (USD),2006,
"Manager, Business Translation & Cultural Change Data Science, Advanced Analytics","Coca-Cola Canada Bottling Limited
3.8",Toronto,CA$80K - CA$105K (Glassdoor est.),"3.8
★★★★★",22,5001 to 10000 Employees,Company - Private,,,Unknown / Non-Applicable,,
"Manager, Predictive Analytics","Canadian Tire
3.7",Toronto,CA$53K - CA$72K (Glassdoor est.),"3.7
★★★★★",308,5001 to 10000 Employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),1922,
"Field Data Scientist, Co","ThinkData Works
4.5",Toronto,CA$78K - CA$103K (Glassdoor est.),"4.5
★★★★★",11,1 to 50 Employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),2014,
Data Scientist,Showman Sphere Inc,Mississauga,CA$110K (Employer est.),-1,0,,,,,,,
Data Scientist,Purolator,Mississauga,CA$72K - CA$96K (Glassdoor est.),"3.8
★★★★★",76,10000+ Employees,Company - Private,Express Delivery Services,Transportation & Logistics,$2 to $5 billion (USD),,
Data Scientist- Artificial Intelligence,"BMO Financial Group
3.8",Toronto,CA$131K - CA$143K (Glassdoor est.),"3.8
★★★★★",1033,10000+ Employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),1817,
Data Scientist,"Loblaw Companies Limited
3.6",Brampton,CA$83K - CA$120K (Glassdoor est.),"3.6
★★★★★",989,10000+ Employees,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),,
"Director, Interconnected Analytics and Data Science","The Home Depot Canada
3.9",Toronto,CA$65K - CA$88K (Glassdoor est.),"3.9
★★★★★",58,10000+ Employees,Subsidiary or Business Segment,Home Centers & Hardware Stores,,,1994,
Data Scientist,"Robert Half
3.8",Toronto,CA$100K - CA$120K (Employer est.),"3.8
★★★★★",553,10000+ Employees,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),1948,
"Staff Consultant, Data Science","Bevertec CST Inc
3.8",Toronto,CA$80K (Employer est.),"3.8
★★★★★",12,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),,
"Senior Analyst, Campaign Analytics & Insights","TD Bank
4.0",Toronto,CA$50K - CA$77K (Glassdoor est.),"3.8
★★★★★",1033,10000+ Employees,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),1855,
"Analyst, Analytics & Insights","Equitable Bank
4.2",Toronto,CA$66K - CA$76K (Glassdoor est.),"4.2
★★★★★",48,501 to 1000 Employees,Company - Public,Banks & Credit Unions,Finance,Unknown / Non-Applicable,1970,
Marketing Analytics Data Scientist,"Kingstar Media
3.1",Toronto,CA$76K - CA$106K (Glassdoor est.),"3.1
★★★★★",1,1 to 50 Employees,Company - Private,Motion Picture Production & Distribution,Media,Less than $1 million (USD),2003,
