Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
"Software Engineer, Product","Asana
4.9","New York, NY",$107K - $200K (Glassdoor est.),"4.9
★★★★★",172,501 to 1000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Software Engineer, Web & Mobile",Oscar Health,"New York, NY",$95K - $194K (Glassdoor est.),"3.7
★★★★★",241,1001 to 5000 Employees,2012,Company - Public,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD)
Software Development Engineer,"Amazon.com Services LLC
3.7","New York, NY",$97K - $163K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Lead Software Engineer,"Reaktor
4.7","New York, NY",$120K - $150K (Employer est.),"4.7
★★★★★",4,501 to 1000 Employees,2000,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
2022 Software Engineer,"Bloomberg
4.1","New York, NY",$98K - $211K (Glassdoor est.),"4.1
★★★★★",1850,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Full Stack Software Engineer (remote),"Indeed
4.3","New York, NY",$171K - $247K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
"Manager, Application Development(Mobile) - 100% Remote","HealthFirst
3.5","New York, NY",$66K - $142K (Glassdoor est.),"3.5
★★★★★",348,5001 to 10000 Employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
Software Developer (No Prior Experience Required),"Revature
4.1","New York, NY",$76K - $176K (Glassdoor est.),"4.1
★★★★★",390,1001 to 5000 Employees,2003,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Front-End Developer - E-Learning Games,Longtail Education,"New York, NY",$73K - $90K (Employer est.),-1,0,,,,,,
Software Engineer,"Prudential
3.8","Newark, NJ",$85K - $145K (Glassdoor est.),"3.8
★★★★★",456,10000+ Employees,1875,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Front End Software Engineer - Enterprise Analytics,"Indeed
4.3","New York, NY",$109K - $159K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Software Engineer - Relevant Jobs Platform Team,"Indeed
4.3","New York, NY",$109K - $159K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Software Engineer I,"Fiserv
3.3","New York, NY",$70K - $142K (Glassdoor est.),"3.3
★★★★★",986,10000+ Employees,1984,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD)
Principal Software Engineer - Jobseeker Profile,"Indeed
4.3","New York, NY",$188K - $272K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Senior Software Engineer - Job Search Front End (Growth),"Indeed
4.3","New York, NY",$171K - $247K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Software Development Engineer in Test - Monetization,"Indeed
4.3","New York, NY",$109K - $159K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
