Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
Full Stack Engineer Co-Op,"Article
4.3",Vancouver,CA$90K - CA$98K (Glassdoor est.),"4.3
★★★★★",50,1001 to 5000 Employees,2011,Company - Private,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable
Software Engineer,"Vizzion Enterprises, Inc.
4.0",North Vancouver,CA$59K - CA$64K (Glassdoor est.),"4.0
★★★★★",7,1 to 50 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Quantitative Software Developer,"Robert Half
3.8",Vancouver,CA$90K - CA$110K (Employer est.),"3.8
★★★★★",553,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Software Engineer,"Animal Logic
4.6",Vancouver,CA$99K - CA$130K (Employer est.),"4.6
★★★★★",38,501 to 1000 Employees,,Company - Private,Motion Picture Production & Distribution,Media,$100 to $500 million (USD)
Software Engineer II (Full Stack),"Microsoft
4.4",Vancouver,CA$75K - CA$95K (Glassdoor est.),"4.4
★★★★★",6744,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Software Engineering: Full Time Opportunities Microsoft Leap,"Microsoft
4.4",Vancouver,CA$95K - CA$115K (Glassdoor est.),"4.4
★★★★★",6744,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"Software Engineer, New Service, EC2 Networking","Amazon Dev Centre Canada ULC
3.7",Vancouver,CA$100K - CA$135K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Software Engineer 1,"WELL Health Technologies Corp
2.8",Vancouver,CA$80K - CA$119K (Glassdoor est.),"2.8
★★★★★",0,Unknown,,Company - Private,,,Unknown / Non-Applicable
Associate Software Engineer,"Broadridge
3.7",Vancouver,CA$77K - CA$86K (Glassdoor est.),"3.7
★★★★★",390,10000+ Employees,2007,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD)
Software Engineer,Trehan Consulting Group Inc.,Vancouver,CA$46K - CA$129K (Employer est.),-1,0,,,,,,
Software Development Engineer,"Microsoft
4.4",Vancouver,CA$96K - CA$115K (Glassdoor est.),"4.4
★★★★★",6744,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Software engineer,"EPIC Semiconductors Inc.
4.2",Vancouver,CA$84K - CA$117K (Glassdoor est.),"4.2
★★★★★",0,1 to 50 Employees,,Company - Public,,,Unknown / Non-Applicable
Junior Software Engineer,"Uberflip
4.2",Vancouver,CA$96K - CA$104K (Glassdoor est.),"4.2
★★★★★",68,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
software engineer,Animal Logic Studios (Vancouver) Ltd.,Vancouver,CA$99K - CA$130K (Employer est.),-1,0,,,,,,
Sr. Software Engineer,"Zepp Health
2.5",Vancouver,CA$91K - CA$150K (Glassdoor est.),"2.5
★★★★★",10,201 to 500 Employees,2014,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable
Sensor Application Software Engineer,LMI Technologies,Vancouver,CA$74K - CA$82K (Glassdoor est.),"3.5
★★★★★",1,201 to 500 Employees,1998,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD)
